frame,time_s,ped1,ped2,distance,heading_diff_deg,lateral_ratio,formation,ttc
804,1.600000,1,2,2.602201,165.722896,0.928954,False,
810,2.000000,1,2,1.474981,164.056968,0.128759,False,
816,2.400000,1,2,1.386925,159.541483,0.931969,False,
834,3.600000,2,3,2.275348,6.508370,0.540488,False,
840,4.000000,2,3,2.423523,11.188613,0.395950,False,
846,4.400000,2,3,2.451885,6.010641,0.340494,False,
846,4.400000,2,6,3.121676,4.167957,0.003292,False,
846,4.400000,3,6,1.367801,10.178597,0.788515,True,
846,4.400000,4,5,0.766635,9.345253,0.961336,True,0.676804
852,4.800000,2,3,2.312333,19.362033,0.226089,False,
852,4.800000,2,6,3.165554,3.307840,0.020805,False,
852,4.800000,3,6,1.272460,16.054193,0.731580,True,
852,4.800000,4,5,0.668070,4.979410,0.967243,True,0.525628
858,5.200000,2,3,2.316441,7.138567,0.253049,False,
858,5.200000,2,6,3.055360,7.871003,0.073472,False,
858,5.200000,3,6,1.119052,0.732436,0.738482,True,
858,5.200000,4,5,0.662869,6.049868,0.992946,True,
864,5.600000,2,3,2.227546,4.690967,0.239791,False,
864,5.600000,2,6,2.949471,9.505860,0.162891,False,
864,5.600000,3,6,1.166089,4.814893,0.804844,True,
864,5.600000,4,5,0.794604,5.573717,0.995510,True,
870,6.000000,2,3,2.201925,10.002803,0.122546,False,
870,6.000000,2,6,2.921583,0.878990,0.154305,False,
870,6.000000,3,6,1.151577,9.123814,0.821704,True,1.966331
870,6.000000,4,5,0.787542,0.547689,0.989470,True,
876,6.400000,2,3,2.216624,5.055935,0.130551,False,
876,6.400000,2,6,2.779096,0.896105,0.114507,False,6.532333
876,6.400000,3,6,0.934094,5.952040,0.806625,True,1.580408
876,6.400000,4,5,0.781458,0.543722,0.994687,True,
882,6.800000,2,3,2.074756,6.171141,0.185863,False,4.762797
882,6.800000,2,4,4.752842,174.219275,0.306199,False,
882,6.800000,2,6,2.653344,9.045994,0.178408,False,
882,6.800000,3,6,0.975904,2.874853,0.841270,True,
882,6.800000,4,5,0.775476,0.547688,0.990371,True,
888,7.200000,2,3,1.959202,19.588128,0.131882,False,
888,7.200000,2,4,3.898612,167.918137,0.270650,False,
888,7.200000,2,5,4.440314,167.296348,0.398881,False,
888,7.200000,2,6,2.532998,12.981198,0.153950,False,
888,7.200000,3,6,0.960680,6.606930,0.879515,True,2.154182
888,7.200000,4,5,0.768772,0.621788,0.990496,True,
894,7.600000,2,3,1.841477,17.161702,0.049452,False,
894,7.600000,2,4,3.191375,168.039530,0.430551,False,
894,7.600000,2,5,3.798395,167.411393,0.552797,False,
894,7.600000,2,6,2.417379,8.334465,0.157097,False,
894,7.600000,3,4,4.671580,174.798768,0.785931,False,
894,7.600000,3,6,0.841910,8.827237,0.829423,True,1.371921
894,7.600000,4,5,0.755631,0.628137,0.997546,True,
894,7.600000,4,6,4.819900,176.373995,0.005096,False,
900,8.000000,2,3,1.729505,0.014303,0.118343,False,3.289472
900,8.000000,2,4,2.644559,172.006010,0.810803,False,
900,8.000000,2,5,3.336596,167.476312,0.762967,False,
900,8.000000,2,6,2.315822,8.748721,0.258451,False,
900,8.000000,3,4,3.782523,172.020313,0.373066,False,
900,8.000000,3,5,4.308622,167.490615,0.182541,False,
900,8.000000,3,6,0.814318,8.734418,0.772595,True,
900,8.000000,4,5,0.749889,4.529698,0.994643,True,
900,8.000000,4,6,3.859582,179.245269,0.459260,False,
900,8.000000,5,6,4.268113,176.225034,0.110217,False,
906,8.400000,2,3,1.564395,16.482714,0.278540,False,2.110934
906,8.400000,2,4,2.386338,155.052238,0.936227,False,
906,8.400000,2,5,3.066736,150.775783,0.862081,False,
906,8.400000,2,6,2.032899,27.855979,0.287935,False,
906,8.400000,3,4,3.059455,171.534952,0.634910,False,
906,8.400000,3,5,3.703249,167.258497,0.483515,False,
906,8.400000,3,6,0.886158,11.373265,0.922759,True,
906,8.400000,4,5,0.685669,4.276455,0.951424,True,
906,8.400000,4,6,2.706098,177.091783,0.697615,False,
906,8.400000,5,6,3.270874,178.631762,0.535900,False,
912,8.800000,2,3,1.358080,42.560200,0.291899,False,
912,8.800000,2,4,2.572750,130.809780,0.892541,False,
912,8.800000,2,5,3.188486,130.326247,0.841411,False,
912,8.800000,2,6,1.885054,43.567565,0.182503,False,
912,8.800000,3,4,2.518299,173.369981,0.808090,False,
912,8.800000,3,5,3.196529,172.886448,0.803537,False,
912,8.800000,3,6,0.877491,1.007365,0.938889,True,
912,8.800000,4,5,0.678955,0.483533,0.941672,True,4.871265
912,8.800000,4,6,1.885936,174.377345,0.531246,False,
912,8.800000,5,6,2.537464,173.893812,0.585095,False,
918,9.200000,2,3,1.298702,36.580235,0.026383,False,
918,9.200000,2,4,3.130161,133.223095,0.999871,False,
918,9.200000,2,5,3.656214,132.739597,0.989371,False,
918,9.200000,2,6,1.893926,46.021405,0.499300,False,
918,9.200000,3,4,2.374398,169.803331,0.954437,False,
918,9.200000,3,5,3.015515,169.319832,0.923472,False,
918,9.200000,3,6,0.859890,9.441170,0.973768,True,
918,9.200000,4,5,0.672541,0.483499,0.942439,True,4.732207
918,9.200000,4,6,1.526528,179.244500,0.990989,False,
918,9.200000,5,6,2.181856,178.761001,0.965230,False,
924,9.600000,2,3,1.033612,35.315615,0.678265,False,0.863357
924,9.600000,2,4,3.471318,139.342463,0.593600,False,
924,9.600000,2,5,3.916402,139.827733,0.706009,False,
924,9.600000,2,6,1.689602,31.141571,0.964668,False,
924,9.600000,3,4,2.642716,174.658078,0.862128,False,
924,9.600000,3,5,3.179976,175.143348,0.930914,False,
924,9.600000,3,6,0.974275,4.174044,0.992957,True,
924,9.600000,4,5,0.666553,0.485270,0.955246,True,4.373077
924,9.600000,4,6,1.781786,170.484034,0.444429,False,
924,9.600000,5,6,2.251024,170.969304,0.672581,False,
930,10.000000,2,3,0.900535,11.728316,0.522880,False,
930,10.000000,2,4,3.826209,177.351775,0.819762,False,
930,10.000000,2,5,4.149065,176.645619,0.814049,False,
930,10.000000,2,6,1.417638,5.203671,0.882191,True,
930,10.000000,3,4,3.044944,170.919909,0.825402,False,
930,10.000000,3,5,3.445589,164.917303,0.810140,False,
930,10.000000,3,6,0.937762,16.931987,0.965390,True,
930,10.000000,4,5,0.660232,6.002606,0.899182,True,
930,10.000000,4,6,2.476724,172.148104,0.872486,False,
930,10.000000,5,6,2.742976,178.150710,0.846408,False,
936,10.400000,2,3,1.017029,60.846428,0.027623,False,
936,10.400000,2,4,4.513376,108.854105,0.949884,False,
936,10.400000,2,5,4.788467,114.719753,0.978210,False,
936,10.400000,2,6,1.462488,51.588526,0.746601,False,
936,10.400000,3,4,3.496640,169.700533,0.795145,False,
936,10.400000,3,5,3.794989,175.566181,0.834334,False,
936,10.400000,3,6,0.934534,9.257902,0.925703,True,
936,10.400000,3,7,6.493313,6.112538,0.092700,False,4.077031
936,10.400000,4,5,0.837794,5.865648,0.864556,True,
936,10.400000,4,6,3.482566,160.442631,0.973124,False,
