frame,time_s,pedestrians,mean_speed,density,flow
1,0.000000,10,0.878398,0.123800,0.108746
11,0.666667,10,0.884669,0.123800,0.109522
21,1.333333,6,0.643667,0.074280,0.047812
31,2.000000,6,0.717916,0.074280,0.053327
41,2.666667,6,0.735167,0.074280,0.054608
51,3.333333,6,0.681905,0.074280,0.050652
61,4.000000,5,0.616464,0.061900,0.038159
71,4.666667,5,0.585360,0.061900,0.036234
81,5.333333,4,0.386612,0.049520,0.019145
91,6.000000,4,0.373619,0.049520,0.018502
101,6.666667,4,0.346233,0.049520,0.017145
111,7.333333,4,0.365289,0.049520,0.018089
121,8.000000,4,0.339104,0.049520,0.016792
131,8.666667,4,0.279166,0.049520,0.013824
141,9.333333,6,0.558839,0.074280,0.041511
151,10.000000,6,0.600281,0.074280,0.044589
161,10.666667,6,0.684307,0.074280,0.050830
171,11.333333,9,1.053344,0.111420,0.117364
181,12.000000,9,1.038256,0.111420,0.115683
191,12.666667,9,1.062264,0.111420,0.118358
201,13.333333,9,1.104323,0.111420,0.123044
211,14.000000,9,1.122034,0.111420,0.125017
221,14.666667,9,1.152675,0.111420,0.128431
231,15.333333,11,1.337263,0.136180,0.182109
241,16.000000,11,1.288094,0.136180,0.175413
251,16.666667,11,1.246388,0.136180,0.169733
261,17.333333,8,1.744248,0.099040,0.172751
271,18.000000,8,1.758717,0.099040,0.174184
281,18.666667,8,1.746611,0.099040,0.172985
291,19.333333,4,1.896593,0.049520,0.093919
301,20.000000,4,1.928412,0.049520,0.095495
311,20.666667,4,1.920148,0.049520,0.095086
321,21.333333,5,1.759865,0.061900,0.108936
331,22.000000,3,1.671971,0.037140,0.062097
341,22.666667,3,1.581594,0.037140,0.058740
351,23.333333,3,1.441865,0.037140,0.053551
411,27.333333,1,1.519760,0.012380,0.018815
421,28.000000,1,1.548708,0.012380,0.019173
431,28.666667,2,1.770680,0.024760,0.043842
441,29.333333,2,1.758976,0.024760,0.043552
451,30.000000,2,1.729961,0.024760,0.042834
461,30.666667,2,1.715318,0.024760,0.042471
471,31.333333,3,1.771663,0.037140,0.065800
481,32.000000,3,1.765237,0.037140,0.065561
491,32.666667,3,1.767944,0.037140,0.065662
501,33.333333,6,1.439077,0.074280,0.106895
511,34.000000,6,1.416342,0.074280,0.105206
521,34.666667,6,1.348035,0.074280,0.100132
531,35.333333,7,1.390086,0.086660,0.120465
541,36.000000,7,1.396033,0.086660,0.120980
551,36.666667,7,1.412353,0.086660,0.122395
561,37.333333,6,1.348489,0.074280,0.100166
571,38.000000,6,1.325645,0.074280,0.098469
581,38.666667,6,1.355479,0.074280,0.100685
591,39.333333,7,1.284264,0.086660,0.111294
601,40.000000,6,1.191736,0.074280,0.088522
611,40.666667,5,1.067354,0.061900,0.066069
621,41.333333,5,1.053642,0.061900,0.065221
631,42.000000,4,0.967955,0.049520,0.047933
641,42.666667,4,0.947390,0.049520,0.046915
651,43.333333,4,0.965266,0.049520,0.047800
661,44.000000,3,0.936936,0.037140,0.034798
671,44.666667,3,0.963842,0.037140,0.035797
681,45.333333,3,1.008636,0.037140,0.037461
691,46.000000,3,1.012572,0.037140,0.037607
701,46.666667,3,1.015543,0.037140,0.037717
711,47.333333,3,1.052224,0.037140,0.039080
721,48.000000,5,0.785469,0.061900,0.048621
731,48.666667,5,0.798364,0.061900,0.049419
741,49.333333,5,0.820103,0.061900,0.050764
751,50.000000,5,0.806723,0.061900,0.049936
761,50.666667,5,0.812404,0.061900,0.050288
771,51.333333,5,0.799269,0.061900,0.049475
781,52.000000,5,0.769312,0.061900,0.047620
791,52.666667,5,0.759027,0.061900,0.046984
801,53.333333,5,0.731442,0.061900,0.045276
811,54.000000,2,0.576209,0.024760,0.014267
871,58.000000,2,1.736133,0.024760,0.042987
881,58.666667,2,1.663991,0.024760,0.041200
891,59.333333,2,1.587473,0.024760,0.039306
901,60.000000,2,1.584542,0.024760,0.039233
911,60.666667,2,1.613266,0.024760,0.039945
921,61.333333,2,1.654912,0.024760,0.040976
931,62.000000,2,1.596064,0.024760,0.039519
941,62.666667,2,1.567486,0.024760,0.038811
951,63.333333,4,1.149237,0.049520,0.056910
961,64.000000,4,1.181984,0.049520,0.058532
971,64.666667,4,1.181284,0.049520,0.058497
981,65.333333,4,1.205534,0.049520,0.059698
991,66.000000,2,1.606437,0.024760,0.039775
1001,66.666667,3,0.887390,0.037140,0.032958
1011,67.333333,4,0.788765,0.049520,0.039060
1021,68.000000,4,0.880408,0.049520,0.043598
1031,68.666667,4,0.871953,0.049520,0.043179
1041,69.333333,4,0.777644,0.049520,0.038509
1051,70.000000,6,0.495547,0.074280,0.036809
1061,70.666667,6,0.401019,0.074280,0.029788
1071,71.333333,6,0.312715,0.074280,0.023229
1081,72.000000,6,0.583915,0.074280,0.043373
1091,72.666667,4,0.726305,0.049520,0.035967
1101,73.333333,4,0.694786,0.049520,0.034406
1111,74.000000,3,0.854853,0.037140,0.031749
1121,74.666667,3,0.812898,0.037140,0.030191
1131,75.333333,2,0.587263,0.024760,0.014541
1141,76.000000,5,0.520718,0.061900,0.032232
1151,76.666667,7,0.386669,0.086660,0.033509
1161,77.333333,8,0.515290,0.099040,0.051034
1171,78.000000,8,0.540711,0.099040,0.053552
1181,78.666667,5,0.713272,0.061900,0.044152
1191,79.333333,5,0.746176,0.061900,0.046188
1201,80.000000,5,0.752104,0.061900,0.046555
1211,80.666667,6,0.828173,0.074280,0.061517
1221,81.333333,6,0.890363,0.074280,0.066136
1231,82.000000,6,0.867954,0.074280,0.064472
1241,82.666667,7,0.886436,0.086660,0.076819
1251,83.333333,7,0.906814,0.086660,0.078585
1261,84.000000,7,0.897838,0.086660,0.077807
1271,84.666667,7,0.910386,0.086660,0.078894
1281,85.333333,6,0.760367,0.074280,0.056480
1291,86.000000,6,0.739583,0.074280,0.054936
1301,86.666667,5,0.600428,0.061900,0.037167
1311,87.333333,5,0.643828,0.061900,0.039853
