frame,time_s,ped1,ped2,distance,heading_diff_deg,lateral_ratio,formation,ttc
1,0.000000,1,2,1.537647,14.456165,0.514716,False,
1,0.000000,1,3,1.474509,131.781258,0.535400,False,
1,0.000000,1,4,3.580390,170.658579,0.997218,False,
1,0.000000,1,9,2.870842,12.968832,0.002466,False,
1,0.000000,1,10,4.422424,172.248386,0.150072,False,
1,0.000000,2,3,3.012080,146.237423,0.435119,False,
1,0.000000,2,9,1.726448,1.487332,0.330269,False,
1,0.000000,2,10,2.964559,173.295450,0.272279,False,
1,0.000000,3,4,2.176420,38.877321,0.477503,False,
1,0.000000,3,5,6.689776,127.203356,0.036947,False,4.118927
1,0.000000,3,6,7.088265,127.203356,0.052945,False,4.435434
1,0.000000,3,9,4.203236,144.750091,0.773892,False,
1,0.000000,4,8,4.507822,88.326036,0.939435,False,
1,0.000000,5,6,0.413466,0.000000,0.000000,False,
1,0.000000,5,7,1.601306,86.532913,0.586686,False,
1,0.000000,5,8,1.689063,0.000000,0.000000,False,
1,0.000000,6,7,1.202705,86.532913,0.648907,False,
1,0.000000,6,8,2.091963,0.000000,0.000000,False,
1,0.000000,7,8,3.194258,86.532913,0.369047,False,
1,0.000000,9,10,1.815752,174.782782,0.725638,False,
11,0.666667,1,2,1.429470,14.456165,0.435978,False,
11,0.666667,1,3,2.427304,134.426090,0.887392,False,
11,0.666667,1,4,4.948678,168.430719,0.999267,False,
11,0.666667,1,9,2.817481,12.968832,0.055010,False,
11,0.666667,1,10,3.727938,172.248386,0.179555,False,
11,0.666667,2,3,3.827138,148.882254,0.813374,False,
11,0.666667,2,9,1.696765,1.487332,0.326255,False,
11,0.666667,2,10,2.322104,173.295450,0.345487,False,
11,0.666667,3,4,2.525840,34.004629,0.603454,False,
11,0.666667,3,5,6.094099,124.558525,0.005591,False,3.238058
11,0.666667,3,6,6.493053,124.558525,0.011669,False,3.475208
11,0.666667,3,8,4.711501,124.558525,0.185822,False,
11,0.666667,4,8,4.313160,90.553896,0.973715,False,
11,0.666667,5,6,0.413466,0.000000,0.000000,False,
11,0.666667,5,7,1.771498,86.532913,0.530322,False,
11,0.666667,5,8,1.689063,0.000000,0.000000,False,
11,0.666667,6,7,1.365268,86.532913,0.571642,False,
11,0.666667,6,8,2.091963,0.000000,0.000000,False,
11,0.666667,7,8,3.385734,86.532913,0.348176,False,
11,0.666667,9,10,1.444898,174.782782,0.909222,False,
21,1.333333,3,4,2.721858,33.619557,0.714414,False,
21,1.333333,3,5,5.332252,125.154204,0.001153,False,2.744964
21,1.333333,3,6,5.730707,125.154204,0.018817,False,2.981151
21,1.333333,3,8,3.971361,125.154204,0.217244,False,
21,1.333333,4,5,4.724777,91.534648,0.901350,False,
21,1.333333,4,8,4.181502,91.534648,0.996292,False,
21,1.333333,5,6,0.413466,0.000000,0.000000,False,
21,1.333333,5,7,1.876926,80.233763,0.592497,False,
21,1.333333,5,8,1.689063,0.000000,0.000000,False,
21,1.333333,6,7,1.467890,80.233763,0.621394,False,
21,1.333333,6,8,2.091963,0.000000,0.000000,False,
21,1.333333,7,8,3.501317,80.233763,0.437964,False,
31,2.000000,3,4,3.054706,32.894670,0.740666,False,
31,2.000000,3,5,4.714931,123.448566,0.023556,False,2.696165
31,2.000000,3,6,5.114291,123.448566,0.001753,False,2.951372
31,2.000000,3,8,3.362475,123.448566,0.274787,False,
31,2.000000,4,5,4.497532,90.553896,0.955708,False,
31,2.000000,4,6,4.750768,90.553896,0.932521,False,
