frame,ped_id,x,y,vx,vy,time_s,speed,direction_deg,ax,ay,acceleration,nearest_distance,ttc
1,1,1.398378,-5.743303,-0.327083,-1.680286,0.000000,1.711825,258.984615,,,,1.474509,
11,1,1.267545,-6.415418,-0.327083,-1.680286,0.666667,1.711825,258.984615,0.000000,0.000000,0.000000,1.429470,
1,2,0.517796,-7.003832,0.097997,-1.629874,0.000000,1.632817,273.440779,,,,1.537647,
11,2,0.556995,-7.655782,0.097997,-1.629874,0.666667,1.632817,273.440779,0.000000,0.000000,0.000000,1.429470,
1,3,2.259814,-4.546597,-0.901111,1.187025,0.000000,1.490312,127.203356,,,,1.474509,4.118927
11,3,1.899369,-4.071787,-0.962617,1.397556,0.666667,1.696996,124.558525,-0.092260,0.315797,0.328998,2.427304,3.238058
21,3,1.489720,-3.428552,-0.992635,1.409540,1.333333,1.723986,125.154204,-0.045027,0.017976,0.048482,2.721858,2.744964
31,3,1.105262,-2.944155,-0.843085,1.276250,2.000000,1.529577,123.448566,0.224325,-0.199936,0.300493,3.054706,2.696165
41,3,0.815252,-2.407553,-0.875788,1.237731,2.666667,1.516239,125.282299,-0.049055,-0.057779,0.075794,2.801611,2.315033
51,3,0.404631,-1.953971,-0.837333,1.164035,3.333333,1.433912,125.728847,0.057683,-0.110544,0.124689,2.206033,2.026010
61,3,0.145386,-1.476325,-0.667745,1.300764,4.000000,1.462146,117.173631,0.254381,0.205094,0.326762,1.748419,1.725759
71,3,-0.129565,-0.913360,-0.639615,1.429355,4.666667,1.565938,114.107791,0.042196,0.192887,0.197448,1.327500,1.347784
81,3,-0.366306,-0.332841,-0.544892,1.447273,5.333333,1.546449,110.631155,0.142083,0.026877,0.144603,1.161172,
91,3,-0.565479,0.244458,-0.525912,1.398883,6.000000,1.494475,110.603812,0.028471,-0.072585,0.077969,1.227643,
101,3,-0.787035,0.786265,-0.486599,1.269975,6.666667,1.360006,110.964637,0.058969,-0.193361,0.202153,0.810876,
