frame,time_s,pedestrians,mean_speed,density,flow
1,0.000000,42,0.394067,0.211019,0.083156
11,0.400000,42,0.510103,0.211019,0.107642
21,0.800000,43,0.425936,0.216043,0.092021
31,1.200000,44,0.456747,0.221068,0.100972
41,1.600000,45,0.480068,0.226092,0.108540
51,2.000000,48,0.497654,0.241165,0.120017
61,2.400000,50,0.446583,0.251213,0.112188
71,2.800000,51,0.483468,0.256238,0.123883
81,3.200000,51,0.533475,0.256238,0.136696
91,3.600000,52,0.518068,0.261262,0.135351
101,4.000000,51,0.524173,0.256238,0.134313
111,4.400000,51,0.563980,0.256238,0.144513
121,4.800000,50,0.554138,0.251213,0.139207
131,5.200000,50,0.558760,0.251213,0.140368
141,5.600000,49,0.568231,0.246189,0.139892
151,6.000000,49,0.513614,0.246189,0.126446
161,6.400000,49,0.544599,0.246189,0.134074
171,6.800000,48,0.501751,0.241165,0.121005
181,7.200000,49,0.497325,0.246189,0.122436
191,7.600000,50,0.514734,0.251213,0.129308
201,8.000000,52,0.499400,0.261262,0.130474
211,8.400000,52,0.547040,0.261262,0.142921
221,8.800000,51,0.502585,0.256238,0.128781
231,9.200000,51,0.508093,0.256238,0.130192
241,9.600000,49,0.613334,0.246189,0.150996
251,10.000000,48,0.579119,0.241165,0.139663
261,10.400000,49,0.628648,0.246189,0.154766
271,10.800000,48,0.637193,0.241165,0.153668
281,11.200000,47,0.559197,0.236140,0.132049
291,11.600000,46,0.630893,0.231116,0.145810
301,12.000000,46,0.595702,0.231116,0.137676
311,12.400000,44,0.619779,0.221068,0.137013
321,12.800000,44,0.575816,0.221068,0.127294
331,13.200000,46,0.562681,0.231116,0.130045
341,13.600000,47,0.641943,0.236140,0.151589
351,14.000000,48,0.596364,0.241165,0.143822
361,14.400000,48,0.564395,0.241165,0.136112
371,14.800000,47,0.608393,0.236140,0.143666
381,15.200000,48,0.645401,0.241165,0.155648
391,15.600000,48,0.591610,0.241165,0.142675
401,16.000000,47,0.648696,0.236140,0.153183
411,16.400000,48,0.612354,0.241165,0.147678
421,16.800000,48,0.567833,0.241165,0.136941
431,17.200000,48,0.603607,0.241165,0.145569
441,17.600000,49,0.548114,0.246189,0.134940
451,18.000000,49,0.536027,0.246189,0.131964
461,18.400000,48,0.539338,0.241165,0.130069
471,18.800000,47,0.528155,0.236140,0.124719
481,19.200000,47,0.525786,0.236140,0.124159
491,19.600000,47,0.523132,0.236140,0.123533
501,20.000000,47,0.522650,0.236140,0.123419
511,20.400000,48,0.498693,0.241165,0.120267
521,20.800000,48,0.521516,0.241165,0.125771
531,21.200000,48,0.572952,0.241165,0.138176
541,21.600000,48,0.540796,0.241165,0.130421
551,22.000000,49,0.587164,0.246189,0.144553
561,22.400000,49,0.618763,0.246189,0.152333
571,22.800000,50,0.580510,0.251213,0.145832
581,23.200000,49,0.592691,0.246189,0.145914
591,23.600000,47,0.576731,0.236140,0.136190
601,24.000000,47,0.551674,0.236140,0.130273
611,24.400000,45,0.609075,0.226092,0.137707
