frame,ped_id,x,y,vx,vy,time_s,speed,direction_deg,ax,ay,acceleration,nearest_distance,ttc
1,1,1.641300,2.188291,-0.161799,0.702095,0.000000,0.720498,102.977353,,,,1.793422,2.011130
11,1,1.576580,2.469129,-0.252680,1.126759,0.400000,1.154744,102.639708,-0.227203,1.061659,1.085699,2.056963,2.176878
21,1,1.475508,2.919833,-0.241545,1.010562,0.800000,1.039028,103.442644,0.027839,-0.290493,0.291823,1.829385,2.207011
31,1,1.378890,3.324058,-0.182729,0.624030,1.200000,0.650233,106.321158,0.147039,-0.966331,0.977454,1.511830,2.117980
41,1,1.305799,3.573670,-0.316148,0.971416,1.600000,1.021567,108.027496,-0.333546,0.868466,0.930315,0.961514,1.427788
51,1,1.179340,3.962236,-0.444249,1.365941,2.000000,1.436368,108.016247,-0.320254,0.986312,1.037003,1.185224,
61,1,1.001640,4.508613,-0.262891,0.866866,2.400000,0.905852,106.870749,0.453397,-1.247688,1.327514,1.111386,
71,1,0.896484,4.855359,-0.209288,0.745247,2.800000,0.774076,105.686335,0.134008,-0.304049,0.332270,1.057200,
81,1,0.812769,5.153458,-0.391743,1.320194,3.200000,1.377089,106.527264,-0.456138,1.437368,1.508009,1.059158,
91,1,0.656071,5.681536,-0.298164,1.161673,3.600000,1.199327,104.395228,0.233947,-0.396303,0.460203,1.131607,
101,1,0.536806,6.146205,-0.061944,0.652215,4.000000,0.655150,95.425355,0.590550,-1.273646,1.403896,1.493508,3.617300
111,1,0.512028,6.407091,-0.027139,0.964806,4.400000,0.965188,91.611220,0.087013,0.781478,0.786307,1.862271,
121,1,0.501173,6.793013,-0.039788,1.414501,4.800000,1.415060,91.611220,-0.031623,1.124238,1.124682,2.103492,
131,1,0.485258,7.358814,-0.031417,1.116905,5.200000,1.117347,91.611219,0.020927,-0.743990,0.744284,2.397462,
141,1,0.472691,7.805576,-0.031417,1.116905,5.600000,1.117347,91.611219,0.000000,0.000000,0.000000,2.636632,
1,2,0.222933,4.477681,0.005909,0.711261,0.000000,0.711286,89.523996,,,,1.836666,
11,2,0.225297,4.762186,0.008916,1.113456,0.400000,1.113492,89.541225,0.007516,1.005486,1.005514,1.461382,
21,2,0.228863,5.207568,0.008893,1.034079,0.800000,1.034117,89.507281,-0.000057,-0.198443,0.198443,0.653791,
31,2,0.232420,5.621199,0.006828,0.649904,1.200000,0.649940,89.398059,-0.005162,-0.960437,0.960451,1.043643,
41,2,0.235151,5.881161,0.005487,1.042575,1.600000,1.042589,89.698469,-0.003353,0.981677,0.981683,1.428226,
51,2,0.237346,6.298191,0.010884,1.375293,2.000000,1.375336,89.546575,0.013493,0.831795,0.831904,1.428789,
61,2,0.241700,6.848308,0.034125,0.727474,2.400000,0.728274,87.314256,0.058104,-1.619547,1.620588,1.702061,
71,2,0.255350,7.139298,0.091674,1.250636,2.800000,1.253991,85.807620,0.143871,1.307904,1.315793,1.658013,
81,2,0.292019,7.639552,0.071574,0.976425,3.200000,0.979044,85.807621,-0.050250,-0.685529,0.687368,1.660690,
91,2,0.320649,8.030122,0.071574,0.976425,3.600000,0.979044,85.807621,0.000000,0.000000,0.000000,1.891028,
1,3,3.873701,-0.476888,-0.703324,0.454779,0.000000,0.837549,147.112747,,,,0.968938,
11,3,3.592372,-0.294976,-1.218180,0.783302,0.400000,1.448283,147.258588,-1.287140,0.821307,1.526852,0.932138,
21,3,3.105100,0.018344,-0.787824,0.541639,0.800000,0.956054,145.490962,1.075891,-0.604156,1.233914,0.912134,3.281026
31,3,2.789970,0.235000,-0.619948,0.460139,1.200000,0.772051,143.416388,0.419690,-0.203751,0.466534,0.696812,
41,3,2.541991,0.419056,-1.124626,0.794219,1.600000,1.376796,144.769982,-1.261695,0.835201,1.513088,0.733830,3.351198
51,3,2.092141,0.736743,-0.775240,0.683795,2.000000,1.033717,138.586323,0.873466,-0.276061,0.916053,1.019421,3.225902
61,3,1.782045,1.010261,-0.335745,0.611397,2.400000,0.697518,118.773104,1.098737,-0.180994,1.113545,1.239584,6.146892
71,3,1.647747,1.254820,-0.593416,1.163936,2.800000,1.306480,117.014117,-0.644179,1.381347,1.524167,1.362704,4.666008
81,3,1.410381,1.720394,-0.542654,1.066001,3.200000,1.196174,116.978621,0.126906,-0.244838,0.275773,1.740040,
91,3,1.193319,2.146795,-0.315249,0.631160,3.600000,0.705511,116.541037,0.568511,-1.087103,1.226783,2.064283,5.073988
