frame,time_s,pedestrians,mean_speed,density,flow
1,0.000000,8,1.112795,0.070860,0.078852
11,0.400000,8,1.112795,0.070860,0.078852
21,0.800000,8,1.112795,0.070860,0.078852
31,1.200000,9,1.138946,0.079717,0.090793
41,1.600000,9,1.089221,0.079717,0.086829
51,2.000000,9,1.072712,0.079717,0.085513
61,2.400000,9,1.047392,0.079717,0.083495
71,2.800000,9,1.058180,0.079717,0.084355
81,3.200000,9,1.080457,0.079717,0.086131
91,3.600000,9,1.130371,0.079717,0.090110
101,4.000000,9,1.148275,0.079717,0.091537
111,4.400000,9,1.121166,0.079717,0.089376
121,4.800000,10,1.062182,0.088574,0.094082
131,5.200000,10,1.075806,0.088574,0.095289
141,5.600000,10,1.071513,0.088574,0.094909
151,6.000000,10,1.099081,0.088574,0.097351
161,6.400000,10,1.110694,0.088574,0.098379
171,6.800000,9,1.101056,0.079717,0.087773
181,7.200000,9,1.082961,0.079717,0.086330
191,7.600000,9,1.079846,0.079717,0.086082
201,8.000000,10,1.115085,0.088574,0.098768
211,8.400000,10,1.099173,0.088574,0.097359
221,8.800000,10,1.078496,0.088574,0.095527
231,9.200000,10,1.075611,0.088574,0.095272
241,9.600000,9,1.098237,0.079717,0.087548
251,10.000000,9,1.112384,0.079717,0.088676
261,10.400000,9,1.105848,0.079717,0.088155
271,10.800000,6,1.061993,0.053145,0.056439
281,11.200000,6,1.066520,0.053145,0.056680
291,11.600000,6,1.045116,0.053145,0.055542
301,12.000000,6,1.004061,0.053145,0.053361
311,12.400000,5,1.029145,0.044287,0.045578
321,12.800000,5,1.032673,0.044287,0.045734
331,13.200000,5,1.022156,0.044287,0.045268
341,13.600000,6,1.032918,0.053145,0.054894
351,14.000000,6,1.029287,0.053145,0.054701
361,14.400000,6,1.025557,0.053145,0.054503
371,14.800000,6,1.022039,0.053145,0.054316
381,15.200000,6,1.038975,0.053145,0.055216
391,15.600000,6,1.055245,0.053145,0.056081
401,16.000000,6,1.040098,0.053145,0.055276
411,16.400000,6,1.055131,0.053145,0.056075
421,16.800000,5,0.903845,0.044287,0.040029
431,17.200000,5,0.853831,0.044287,0.037814
441,17.600000,4,0.726137,0.035430,0.025727
451,18.000000,4,0.722792,0.035430,0.025608
