frame,ped_id,x,y,vx,vy,time_s,speed,direction_deg,ax,ay,acceleration,nearest_distance,ttc
1,1,-2.829260,18.959350,0.000000,-1.321524,0.000000,1.321524,270.000000,,,,0.551723,
11,1,-2.829260,18.430740,0.000000,-1.321524,0.400000,1.321524,270.000000,0.000000,0.000000,0.000000,0.542687,
21,1,-2.829260,17.902130,0.000000,-1.321524,0.800000,1.321524,270.000000,0.000000,0.000000,0.000000,0.533732,
31,1,-2.807630,17.385990,0.054076,-1.290356,1.200000,1.291489,272.399740,0.135190,0.077920,0.156038,0.524694,
41,1,-2.764369,16.882310,0.108152,-1.259188,1.600000,1.263824,274.909111,0.135190,0.077920,0.156038,0.526806,
51,1,-2.721108,16.378640,0.108152,-1.259188,2.000000,1.263824,274.909111,0.000000,0.000000,0.000000,0.531661,
61,1,-2.770649,15.893170,-0.123852,-1.213654,2.400000,1.219957,264.173216,-0.580010,0.113835,0.591075,0.581378,
71,1,-2.912991,15.425930,-0.355855,-1.168119,2.800000,1.221120,253.057179,-0.580010,0.113838,0.591075,0.609492,
81,1,-3.055333,14.958680,-0.355855,-1.168119,3.200000,1.221120,253.057179,0.000000,0.000000,0.000000,0.640687,
91,1,-3.202265,14.460700,-0.367330,-1.244959,3.600000,1.298019,253.561113,-0.028685,-0.192100,0.194230,0.656958,
101,1,-3.356082,13.916610,-0.384541,-1.360219,4.000000,1.413530,254.214126,-0.043028,-0.288150,0.291345,0.647601,2.040004
111,1,-3.509898,13.372520,-0.384541,-1.360219,4.400000,1.413530,254.214126,0.000000,0.000000,0.000000,0.638249,1.639975
121,1,-3.592382,12.823580,-0.206210,-1.372351,4.800000,1.387757,261.454640,0.445827,-0.030330,0.446858,0.631047,1.860324
131,1,-3.644295,12.272560,-0.129783,-1.377551,5.200000,1.383651,264.617905,0.191069,-0.013000,0.191510,0.625112,2.238942
141,1,-3.696208,11.721540,-0.129783,-1.377551,5.600000,1.383651,264.617905,0.000000,0.000000,0.000000,0.619599,1.838845
151,1,-3.729952,11.161180,-0.084359,-1.400909,6.000000,1.403447,266.553975,0.113560,-0.058395,0.127694,0.616727,4.984117
161,1,-3.755908,10.596810,-0.064891,-1.410920,6.400000,1.412411,267.366698,0.048668,-0.025027,0.054727,0.641211,4.533143
171,1,-3.781865,10.032440,-0.064891,-1.410920,6.800000,1.412411,267.366698,0.000000,0.000000,0.000000,0.670207,4.133138
181,1,-3.865358,9.501871,-0.208734,-1.326421,7.200000,1.342744,261.056928,-0.359606,0.211247,0.417064,0.732144,
191,1,-3.973510,8.985788,-0.270380,-1.290208,7.600000,1.318235,258.164181,-0.154117,0.090533,0.178740,0.763705,
201,1,-4.081662,8.469705,-0.270380,-1.290208,8.000000,1.318235,258.164181,0.000000,0.000000,0.000000,0.796498,
211,1,-4.185952,7.957739,-0.260724,-1.279914,8.400000,1.306199,258.486140,0.024141,0.025735,0.035286,0.838475,
221,1,-4.255478,7.482832,-0.173816,-1.187267,8.800000,1.199923,261.671061,0.217270,0.231617,0.317573,0.857701,
231,1,-4.325005,7.007925,-0.173816,-1.187267,9.200000,1.199923,261.671061,0.000000,0.000000,0.000000,0.877239,
241,1,-4.394531,6.533018,-0.173816,-1.187267,9.600000,1.199923,261.671061,0.000000,0.000000,0.000000,0.881218,
251,1,-4.464057,6.058112,-0.173816,-1.187267,10.000000,1.199923,261.671061,0.000000,0.000000,0.000000,0.861559,5.537999
261,1,-4.533584,5.583205,-0.173816,-1.187267,10.400000,1.199923,261.671061,0.000000,0.000000,0.000000,0.841974,5.138019
1,2,-2.284174,18.874030,-0.024958,-1.334243,0.000000,1.334476,268.928357,,,,0.551723,
11,2,-2.294157,18.340330,-0.024958,-1.334243,0.400000,1.334476,268.928357,0.000000,0.000000,0.000000,0.542687,
21,2,-2.304140,17.806640,-0.024958,-1.334243,0.800000,1.334476,268.928357,0.000000,0.000000,0.000000,0.533732,
31,2,-2.290035,17.299970,0.035264,-1.266655,1.200000,1.267146,271.594695,0.150554,0.168970,0.226313,0.524694,
41,2,-2.239796,16.833860,0.125596,-1.165272,1.600000,1.172021,276.151742,0.225831,0.253457,0.339471,0.526806,4.722747
51,2,-2.189558,16.367760,0.125596,-1.165272,2.000000,1.172021,276.151737,-0.000000,0.000000,0.000000,0.531661,4.104641
61,2,-2.189298,15.887610,0.000650,-1.200367,2.400000,1.200367,270.031008,-0.312366,-0.087737,0.324454,0.581378,
71,2,-2.305655,15.374710,-0.290892,-1.282254,2.800000,1.314836,257.218228,-0.728854,-0.204718,0.757058,0.609492,
81,2,-2.422012,14.861810,-0.290892,-1.282254,3.200000,1.314836,257.218228,0.000000,0.000000,0.000000,0.640687,
91,2,-2.557198,14.336270,-0.337965,-1.313846,3.600000,1.356618,255.574360,-0.117683,-0.078980,0.141729,0.656958,
101,2,-2.720628,13.791770,-0.408575,-1.361233,4.000000,1.421228,253.292844,-0.176524,-0.118467,0.212592,0.647601,2.040004
111,2,-2.884057,13.247280,-0.408575,-1.361233,4.400000,1.421228,253.292844,0.000000,0.000000,0.000000,0.638249,1.639975
121,2,-2.971628,12.710070,-0.218926,-1.343018,4.800000,1.360745,260.741612,0.474122,0.045537,0.476303,0.631047,1.860324
131,2,-3.026687,12.175990,-0.137648,-1.335211,5.200000,1.342287,264.114115,0.203195,0.019518,0.204130,0.625112,2.238942
