frame,time_s,pedestrians,mean_speed,density,flow
780,0.000000,1,1.680984,0.006097,0.010249
786,0.400000,1,1.694671,0.006097,0.010332
792,0.800000,1,1.723751,0.006097,0.010510
798,1.200000,1,1.620350,0.006097,0.009879
804,1.600000,2,1.982522,0.012194,0.024174
810,2.000000,2,1.661166,0.012194,0.020256
816,2.400000,2,1.414021,0.012194,0.017242
822,2.800000,1,1.649786,0.006097,0.010059
828,3.200000,1,1.467243,0.006097,0.008946
834,3.600000,2,1.021027,0.012194,0.012450
840,4.000000,2,1.143235,0.012194,0.013940
846,4.400000,5,1.385008,0.030484,0.042221
852,4.800000,5,1.379306,0.030484,0.042047
858,5.200000,5,1.379044,0.030484,0.042039
864,5.600000,5,1.421990,0.030484,0.043349
870,6.000000,5,1.361328,0.030484,0.041499
876,6.400000,5,1.323692,0.030484,0.040352
882,6.800000,5,1.316104,0.030484,0.040121
888,7.200000,5,1.346891,0.030484,0.041059
894,7.600000,5,1.310528,0.030484,0.039951
900,8.000000,5,1.253138,0.030484,0.038201
906,8.400000,5,1.262303,0.030484,0.038481
912,8.800000,5,1.252926,0.030484,0.038195
918,9.200000,5,1.150608,0.030484,0.035076
924,9.600000,5,1.110836,0.030484,0.033863
930,10.000000,6,1.286718,0.036581,0.047070
936,10.400000,6,1.325027,0.036581,0.048471
942,10.800000,6,1.226885,0.036581,0.044881
948,11.200000,7,1.317082,0.042678,0.056211
954,11.600000,7,1.378030,0.042678,0.058812
960,12.000000,7,1.287346,0.042678,0.054942
966,12.400000,7,1.293493,0.042678,0.055204
972,12.800000,7,1.308043,0.042678,0.055825
978,13.200000,7,1.319236,0.042678,0.056303
984,13.600000,7,1.351962,0.042678,0.057699
990,14.000000,5,1.342072,0.030484,0.040912
996,14.400000,5,1.214703,0.030484,0.037030
1002,14.800000,5,1.398775,0.030484,0.042641
1008,15.200000,5,1.471881,0.030484,0.044870
1014,15.600000,5,1.314959,0.030484,0.040086
1020,16.000000,5,1.274983,0.030484,0.038867
1026,16.400000,1,1.235802,0.006097,0.007535
1032,16.800000,1,1.508061,0.006097,0.009194
1038,17.200000,1,1.610699,0.006097,0.009820
1044,17.600000,1,1.583038,0.006097,0.009652
1050,18.000000,5,0.903566,0.030484,0.027545
1056,18.400000,5,0.763816,0.030484,0.023285
1062,18.800000,5,0.662892,0.030484,0.020208
1068,19.200000,6,0.728742,0.036581,0.026658
1074,19.600000,7,0.794784,0.042678,0.033920
1080,20.000000,7,0.835792,0.042678,0.035670
1086,20.400000,8,0.807869,0.048775,0.039404
1092,20.800000,8,0.749709,0.048775,0.036567
1098,21.200000,8,0.790029,0.048775,0.038534
1104,21.600000,10,0.952840,0.060969,0.058094
1110,22.000000,9,1.052963,0.054872,0.057778
1116,22.400000,9,1.223635,0.054872,0.067143
1122,22.800000,10,1.305416,0.060969,0.079590
1128,23.200000,10,1.187648,0.060969,0.072410
1134,23.600000,9,1.217066,0.054872,0.066783
1140,24.000000,9,1.180686,0.054872,0.064787
1146,24.400000,10,1.248328,0.060969,0.076109
1152,24.800000,10,1.333744,0.060969,0.081317
1158,25.200000,10,1.324714,0.060969,0.080766
1164,25.600000,10,1.211811,0.060969,0.073883
1170,26.000000,10,1.186183,0.060969,0.072320
1176,26.400000,10,1.259859,0.060969,0.076812
1182,26.800000,10,1.315317,0.060969,0.080194
1188,27.200000,10,1.304006,0.060969,0.079504
1194,27.600000,10,1.327334,0.060969,0.080926
1200,28.000000,10,1.331857,0.060969,0.081202
1206,28.400000,10,1.279752,0.060969,0.078025
1212,28.800000,10,1.330586,0.060969,0.081124
1218,29.200000,10,1.333940,0.060969,0.081329
1224,29.600000,11,1.326704,0.067066,0.088977
1230,30.000000,11,1.314382,0.067066,0.088150
1236,30.400000,11,1.330780,0.067066,0.089250
1242,30.800000,11,1.386247,0.067066,0.092970
1248,31.200000,1,1.576292,0.006097,0.009610
1254,31.600000,1,1.502463,0.006097,0.009160
1260,32.000000,1,1.570483,0.006097,0.009575
1266,32.400000,1,1.554797,0.006097,0.009479
1272,32.800000,1,1.774725,0.006097,0.010820
1278,33.200000,1,1.790450,0.006097,0.010916
1284,33.600000,4,1.801799,0.024388,0.043942
1290,34.000000,4,1.807773,0.024388,0.044087
1296,34.400000,4,1.791313,0.024388,0.043686
1302,34.800000,4,1.698895,0.024388,0.041432
1308,35.200000,4,1.649822,0.024388,0.040235
1314,35.600000,4,1.701129,0.024388,0.041486
1320,36.000000,4,1.716577,0.024388,0.041863
1326,36.400000,4,1.626925,0.024388,0.039677
1332,36.800000,4,1.599375,0.024388,0.039005
1338,37.200000,4,1.625373,0.024388,0.039639
1344,37.600000,6,1.571196,0.036581,0.057476
1350,38.000000,6,1.615673,0.036581,0.059104
1356,38.400000,6,1.650824,0.036581,0.060389
1362,38.800000,4,1.676289,0.024388,0.040881
1368,39.200000,4,1.668667,0.024388,0.040695
1374,39.600000,1,1.771915,0.006097,0.010803
1380,40.000000,1,1.693730,0.006097,0.010326
1386,40.400000,1,1.725290,0.006097,0.010519
1392,40.800000,1,1.755146,0.006097,0.010701
1446,44.400000,3,1.187867,0.018291,0.021727
1452,44.800000,3,1.390911,0.018291,0.025441
1458,45.200000,3,1.464935,0.018291,0.026795
1464,45.600000,3,1.256234,0.018291,0.022977
1470,46.000000,3,1.263918,0.018291,0.023118
1476,46.400000,3,1.361545,0.018291,0.024904
1482,46.800000,3,1.410035,0.018291,0.025791
1488,47.200000,4,1.691594,0.024388,0.041254
1494,47.600000,4,1.529091,0.024388,0.037291
1500,48.000000,4,1.447981,0.024388,0.035313
1506,48.400000,4,1.521627,0.024388,0.037109
1512,48.800000,4,1.476728,0.024388,0.036014
1518,49.200000,4,1.430321,0.024388,0.034882
1524,49.600000,4,1.425940,0.024388,0.034775
1530,50.000000,5,1.434115,0.030484,0.043718
1536,50.400000,6,1.554274,0.036581,0.056857
1542,50.800000,6,1.436765,0.036581,0.052559
1548,51.200000,6,1.398684,0.036581,0.051166
1554,51.600000,6,1.413788,0.036581,0.051718
1560,52.000000,6,1.343781,0.036581,0.049157
1566,52.400000,6,1.383894,0.036581,0.050625
1572,52.800000,3,1.280522,0.018291,0.023422
1578,53.200000,2,1.299684,0.012194,0.015848
1584,53.600000,2,1.342814,0.012194,0.016374
1590,54.000000,2,1.272789,0.012194,0.015520
1596,54.400000,2,1.256773,0.012194,0.015325
1602,54.800000,2,1.246469,0.012194,0.015199
1608,55.200000,2,1.377642,0.012194,0.016799
1614,55.600000,2,1.511969,0.012194,0.018437
1620,56.000000,2,1.495720,0.012194,0.018238
1626,56.400000,2,1.329259,0.012194,0.016209
1632,56.800000,2,1.337029,0.012194,0.016303
1638,57.200000,2,1.376705,0.012194,0.016787
1644,57.600000,2,1.194448,0.012194,0.014565
1650,58.000000,2,1.368897,0.012194,0.016692
1656,58.400000,2,1.487536,0.012194,0.018139
1662,58.800000,2,1.629819,0.012194,0.019874
1668,59.200000,2,1.626922,0.012194,0.019838
1674,59.600000,2,1.287455,0.012194,0.015699
1680,60.000000,2,1.145921,0.012194,0.013973
1752,64.800000,1,1.245656,0.006097,0.007595
1758,65.200000,1,1.407848,0.006097,0.008584
1764,65.600000,1,1.410276,0.006097,0.008598
1770,66.000000,1,1.220970,0.006097,0.007444
1776,66.400000,1,1.384954,0.006097,0.008444
1782,66.800000,1,1.543984,0.006097,0.009414
1788,67.200000,1,1.449831,0.006097,0.008839
1794,67.600000,1,1.359345,0.006097,0.008288
1800,68.000000,2,1.632554,0.012194,0.019907
1806,68.400000,2,1.603053,0.012194,0.019547
1812,68.800000,3,1.646832,0.018291,0.030122
1818,69.200000,3,1.616317,0.018291,0.029564
1824,69.600000,3,1.591916,0.018291,0.029117
1830,70.000000,3,1.575641,0.018291,0.028820
1836,70.400000,3,1.614903,0.018291,0.029538
1842,70.800000,3,1.615033,0.018291,0.029540
1848,71.200000,3,1.545566,0.018291,0.028269
1854,71.600000,2,1.688422,0.012194,0.020588
1860,72.000000,2,1.717338,0.012194,0.020941
1866,72.400000,2,1.698203,0.012194,0.020708
1872,72.800000,2,1.647497,0.012194,0.020089
1878,73.200000,2,1.610840,0.012194,0.019642
1884,73.600000,2,1.302883,0.012194,0.015887
1890,74.000000,2,1.454496,0.012194,0.017736
1896,74.400000,2,1.798805,0.012194,0.021934
1902,74.800000,2,1.747813,0.012194,0.021312
1908,75.200000,2,1.704778,0.012194,0.020788
1914,75.600000,2,1.592058,0.012194,0.019413
1920,76.000000,2,1.593783,0.012194,0.019434
1926,76.400000,3,1.758972,0.018291,0.032173
1932,76.800000,2,1.833792,0.012194,0.022361
1938,77.200000,1,2.103347,0.006097,0.012824
1944,77.600000,1,2.064164,0.006097,0.012585
1950,78.000000,1,2.061697,0.006097,0.012570
1956,78.400000,1,2.043840,0.006097,0.012461
1962,78.800000,1,1.994753,0.006097,0.012162
1968,79.200000,2,1.933370,0.012194,0.023575
1974,79.600000,2,1.890446,0.012194,0.023052
1980,80.000000,3,1.793421,0.018291,0.032803
1986,80.400000,3,1.860026,0.018291,0.034021
1992,80.800000,3,1.877189,0.018291,0.034335
1998,81.200000,3,1.843931,0.018291,0.033727
2004,81.600000,3,1.818563,0.018291,0.033263
2010,82.000000,3,1.858188,0.018291,0.033988
2016,82.400000,3,1.855132,0.018291,0.033932
2022,82.800000,3,1.821337,0.018291,0.033314
2028,83.200000,3,1.783727,0.018291,0.032626
2034,83.600000,2,1.727757,0.012194,0.021068
2040,84.000000,2,1.805051,0.012194,0.022010
2046,84.400000,2,1.816833,0.012194,0.022154
2052,84.800000,2,1.766244,0.012194,0.021537
2058,85.200000,2,1.661186,0.012194,0.020256
2064,85.600000,2,1.616204,0.012194,0.019708
2070,86.000000,1,1.534509,0.006097,0.009356
2076,86.400000,1,1.503083,0.006097,0.009164
2082,86.800000,1,1.493257,0.006097,0.009104
2088,87.200000,1,1.514137,0.006097,0.009232
2094,87.600000,1,1.488929,0.006097,0.009078
2100,88.000000,1,1.515402,0.006097,0.009239
2106,88.400000,1,1.535110,0.006097,0.009359
2112,88.800000,2,1.615631,0.012194,0.019701
2118,89.200000,3,1.211717,0.018291,0.022163
2124,89.600000,3,1.289018,0.018291,0.023577
2130,90.000000,5,1.544247,0.030484,0.047076
2136,90.400000,5,1.389041,0.030484,0.042344
2142,90.800000,5,1.286083,0.030484,0.039206
2148,91.200000,4,1.383270,0.024388,0.033735
2154,91.600000,4,1.363876,0.024388,0.033262
2160,92.000000,4,1.379616,0.024388,0.033645
2166,92.400000,4,1.364665,0.024388,0.033281
2172,92.800000,4,1.289797,0.024388,0.031455
2178,93.200000,4,1.292003,0.024388,0.031509
2184,93.600000,5,1.408228,0.030484,0.042929
2190,94.000000,5,1.418561,0.030484,0.043244
2196,94.400000,6,1.444062,0.036581,0.052826
2202,94.800000,6,1.391354,0.036581,0.050898
2208,95.200000,6,1.348587,0.036581,0.049333
2214,95.600000,7,1.489006,0.042678,0.063548
2220,96.000000,7,1.457120,0.042678,0.062187
2226,96.400000,7,1.437703,0.042678,0.061359
2232,96.800000,7,1.492274,0.042678,0.063688
2238,97.200000,8,1.536508,0.048775,0.074943
2244,97.600000,8,1.535474,0.048775,0.074893
2250,98.000000,8,1.527090,0.048775,0.074484
2256,98.400000,8,1.655940,0.048775,0.080769
2262,98.800000,8,1.686133,0.048775,0.082241
2268,99.200000,8,1.506532,0.048775,0.073481
2274,99.600000,9,1.558874,0.054872,0.085539
2280,100.000000,9,1.528729,0.054872,0.083884
2286,100.400000,9,1.419473,0.054872,0.077889
2292,100.800000,5,1.499749,0.030484,0.045719
2298,101.200000,5,1.431888,0.030484,0.043650
2304,101.600000,2,1.738981,0.012194,0.021205
2310,102.000000,2,1.715458,0.012194,0.020918
2316,102.400000,2,1.640180,0.012194,0.020000
2322,102.800000,2,1.703978,0.012194,0.020778
2328,103.200000,2,1.825195,0.012194,0.022256
2334,103.600000,2,1.820617,0.012194,0.022200
2340,104.000000,1,1.575121,0.006097,0.009603
2346,104.400000,1,1.602526,0.006097,0.009770
2352,104.800000,1,1.628435,0.006097,0.009928
2358,105.200000,1,1.605820,0.006097,0.009791
2364,105.600000,1,1.571640,0.006097,0.009582
2370,106.000000,1,1.590381,0.006097,0.009696
2376,106.400000,1,1.660254,0.006097,0.010122
2382,106.800000,1,1.681727,0.006097,0.010253
2388,107.200000,1,1.600103,0.006097,0.009756
2394,107.600000,1,1.539044,0.006097,0.009383
2862,138.800000,8,1.082678,0.048775,0.052808
2868,139.200000,8,1.107159,0.048775,0.054002
2874,139.600000,8,1.144770,0.048775,0.055836
2880,140.000000,8,1.143619,0.048775,0.055780
2886,140.400000,8,1.121574,0.048775,0.054705
2892,140.800000,8,1.124262,0.048775,0.054836
2898,141.200000,8,1.097251,0.048775,0.053519
2904,141.600000,8,1.061122,0.048775,0.051756
2910,142.000000,9,1.231198,0.054872,0.067558
2916,142.400000,9,1.327992,0.054872,0.072870
