frame,ped_id,x,y,vx,vy,time_s,speed,direction_deg,ax,ay,acceleration,nearest_distance,ttc
780,1,8.456844,3.588066,1.671714,0.176292,0.000000,1.680984,6.019917,,,,,
786,1,9.125530,3.658583,1.662877,0.326723,0.400000,1.694671,11.115892,-0.022093,0.376077,0.376725,,
792,1,9.787146,3.849445,1.683334,0.371084,0.800000,1.723751,12.431783,0.051142,0.110904,0.122127,,
798,1,10.472197,3.955450,1.598568,0.264795,1.200000,1.620350,9.405356,-0.211916,-0.265723,0.339878,,
804,1,11.066000,4.061280,1.574526,0.456390,1.600000,1.639337,16.164699,-0.060103,0.478989,0.482745,2.602201,
810,1,11.731818,4.320563,1.644127,0.544391,2.000000,1.731911,18.320358,0.174001,0.220002,0.280495,1.474981,
816,1,12.381302,4.496793,1.623709,0.440576,2.400000,1.682420,15.181079,-0.051046,-0.259538,0.264510,1.386925,
804,2,13.017548,5.782591,-2.324444,-0.076606,1.600000,2.325706,181.887595,,,,2.602201,
810,2,12.087770,5.751949,-1.589052,-0.065971,2.000000,1.590421,182.377326,1.838481,0.026587,1.838673,1.474981,
816,2,11.746306,5.729815,-1.140766,0.105373,2.400000,1.145622,174.722562,1.120715,0.428359,1.199789,1.386925,
822,2,11.175158,5.836247,-1.640021,0.179235,2.800000,1.649786,173.762988,-1.248138,0.184657,1.261724,,
828,2,10.434290,5.873203,-1.406129,0.419050,3.200000,1.467243,163.405077,0.584729,0.599536,0.837467,,
834,2,10.050254,6.171487,-1.078742,0.455190,3.600000,1.170847,157.122031,0.818467,0.090351,0.823439,2.275348,
840,2,9.571296,6.237355,-1.207725,0.115437,4.000000,1.213229,174.540148,-0.322457,-0.849383,0.908532,2.423523,
846,2,9.084074,6.263836,-1.273181,0.170841,4.400000,1.284592,172.357463,-0.163640,0.138510,0.214390,2.451885,
852,2,8.552751,6.374027,-1.232733,0.271502,4.800000,1.262278,167.579277,0.101119,0.251652,0.271208,2.312333,
858,2,8.097887,6.481037,-1.146730,0.217892,5.200000,1.167247,169.241393,0.215009,-0.134024,0.253360,2.316441,
864,2,7.635367,6.548341,-1.163496,0.169306,5.600000,1.175749,171.720729,-0.041915,-0.121465,0.128494,2.227546,
870,2,7.167091,6.616482,-1.126493,0.116400,6.000000,1.132491,174.100592,0.092507,-0.132265,0.161404,2.201925,
876,2,6.734173,6.641461,-1.030589,0.111754,6.400000,1.036630,173.811187,0.239760,-0.011614,0.240041,2.216624,6.532333
882,2,6.342620,6.705885,-0.928381,0.158624,6.800000,0.941835,170.304054,0.255519,0.117173,0.281104,2.074756,4.762797
888,2,5.991468,6.768360,-0.931563,0.265376,7.200000,0.968625,164.099244,-0.007954,0.266881,0.267000,1.959202,
894,2,5.597370,6.918186,-0.940001,0.267335,7.600000,0.977276,164.124309,-0.021094,0.004898,0.021655,1.841477,
900,2,5.239467,6.982228,-0.727833,0.150307,8.000000,0.743192,168.331721,0.530418,-0.292570,0.605756,1.729505,3.289472
906,2,5.015103,7.038432,-0.552344,0.300017,8.400000,0.628565,151.490454,0.438724,0.374276,0.576681,1.564395,2.110934
912,2,4.797592,7.222242,-0.588824,0.676791,8.800000,0.897084,131.024005,-0.091200,0.941935,0.946340,1.358080,
918,2,4.544044,7.579865,-0.432141,0.454893,9.200000,0.627435,133.530723,0.391706,-0.554745,0.679099,1.298702,
924,2,4.451879,7.586156,-0.429110,-0.345780,9.600000,0.551089,218.862092,0.007578,-2.001682,2.001697,1.033612,0.863357
930,2,4.200756,7.303241,-0.529000,-0.071224,10.000000,0.533774,187.668100,-0.249726,0.686390,0.730407,0.900535,
936,2,4.028679,7.529177,-0.368774,0.615098,10.400000,0.717175,120.944214,0.400566,1.715805,1.761943,1.017029,
942,2,3.905737,7.795320,-0.564664,0.361645,10.800000,0.670547,147.362043,-0.489727,-0.633633,0.800826,1.040044,
948,2,3.576947,7.818493,-0.817952,0.165903,11.200000,0.834607,168.534382,-0.633219,-0.489355,0.800272,1.212335,
954,2,3.251375,7.928042,-0.941012,0.229570,11.600000,0.968610,166.289878,-0.307650,0.159167,0.346385,1.247625,
960,2,2.824138,8.002149,-1.138597,0.136249,12.000000,1.146720,173.176208,-0.493962,-0.233303,0.546286,1.379128,
966,2,2.340498,8.037041,-1.224827,-0.021810,12.400000,1.225021,181.020116,-0.215575,-0.395146,0.450126,1.525056,
972,2,1.844277,7.984702,-1.128275,-0.195546,12.800000,1.145095,189.832509,0.241380,-0.434342,0.496907,1.676231,
978,2,1.437878,7.880604,-1.093270,-0.368433,13.200000,1.153682,198.623859,0.087513,-0.432216,0.440987,1.602322,
984,2,0.969661,7.689956,-1.123340,-0.595632,13.600000,1.271483,207.933994,-0.075176,-0.567997,0.572950,1.326871,4.835397
990,2,0.539206,7.404099,-1.078292,-0.662784,14.000000,1.265700,211.577431,0.112620,-0.167882,0.202157,1.268170,3.985223
996,2,0.107027,7.159728,-1.077654,-0.501264,14.400000,1.188530,204.945203,0.001596,0.403801,0.403804,1.210978,
1002,2,-0.322917,7.003088,-0.983052,-0.800444,14.800000,1.267715,219.153985,0.236505,-0.747949,0.784450,1.184494,3.175835
1008,2,-0.679414,6.519373,-1.004938,-0.922421,15.200000,1.364097,222.548481,-0.054715,-0.304944,0.309814,0.714569,0.175404
